filepath,title,year
"Documents/ERIC EJ1157989_ Constructing Threats and a Need for Control_ Textbook Descriptions of a Growing_ Moving World Population   %2014.txt","ERIC EJ1157989_ Constructing Threats and a Need for Control_ Textbook Descriptions of a Growing_ Moving World Population   ",2014
"Documents/ERIC EJ1159909_ Internationalizing the Music Course_ MUSC 2022 Ear Training and Sight Singing through an International Lens   %2017.txt","ERIC EJ1159909_ Internationalizing the Music Course_ MUSC 2022 Ear Training and Sight Singing through an International Lens   ",2017
"Documents/ERIC EJ1160026_ In Search of Historical Consciousness_ An Investigation into Young South Africans' Knowledge and Understanding of _Their_ National His  %2017.txt","ERIC EJ1160026_ In Search of Historical Consciousness_ An Investigation into Young South Africans' Knowledge and Understanding of _Their_ National His  ",2017
"Documents/ERIC EJ1160647_ The Third World Perspective on the Cold War_ Making Curriculum and Pedagogy Relevant in History Classrooms   %2017.txt","ERIC EJ1160647_ The Third World Perspective on the Cold War_ Making Curriculum and Pedagogy Relevant in History Classrooms   ",2017
"Documents/ERIC EJ543959_ Lessons from History_ Industrial Arts_Technology Education as a Case_   %1997.txt","ERIC EJ543959_ Lessons from History_ Industrial Arts_Technology Education as a Case_   ",1997
"Documents/ERIC EJ742929_ An Exploratory Study of Binge Drinking in the Aboriginal Population   %2005.txt","ERIC EJ742929_ An Exploratory Study of Binge Drinking in the Aboriginal Population   ",2005
"Documents/ERIC EJ788828_ A Genealogy of Media Studies   %2003.txt","ERIC EJ788828_ A Genealogy of Media Studies   ",2003
"Documents/ERIC EJ795232_ Presence of Mind in the Process of Learning and Knowing_ A Dialogue with Paulo Freire   %2004.txt","ERIC EJ795232_ Presence of Mind in the Process of Learning and Knowing_ A Dialogue with Paulo Freire   ",2004
"Documents/ERIC EJ819409_ A Historical Perspective on Teaching and Learning Calculus   %2008.txt","ERIC EJ819409_ A Historical Perspective on Teaching and Learning Calculus   ",2008
"Documents/ERIC EJ837772_ Participation of Primary School Pupils Who Stay at Institution of Social Services and Child Protection Dormitories in Social Science Le  %2008.txt","ERIC EJ837772_ Participation of Primary School Pupils Who Stay at Institution of Social Services and Child Protection Dormitories in Social Science Le  ",2008
"Documents/ERIC EJ842865_ The Origins of the Standards Movement in the United States_ Adoption of the Written Test and Its Influence on Class Work   %2008.txt","ERIC EJ842865_ The Origins of the Standards Movement in the United States_ Adoption of the Written Test and Its Influence on Class Work   ",2008
"Documents/ERIC EJ842889_ The Matrix and the Cave_ Reconsidering the Ontological Dimension of Education   %2006.txt","ERIC EJ842889_ The Matrix and the Cave_ Reconsidering the Ontological Dimension of Education   ",2006
"Documents/ERIC EJ845909_ From Laboratory to Library_ The History of Wayne State University's Education Library   %2009.txt","ERIC EJ845909_ From Laboratory to Library_ The History of Wayne State University's Education Library   ",2009
"Documents/ERIC EJ868976_ Survey Delves into Educator's Use of Assessment Data   %2009.txt","ERIC EJ868976_ Survey Delves into Educator's Use of Assessment Data   ",2009
"Documents/ERIC EJ875392_ Defining and Understanding Parentification_ Implications for All Counselors   %2008.txt","ERIC EJ875392_ Defining and Understanding Parentification_ Implications for All Counselors   ",2008
"Documents/ERIC EJ891492_ Principles in Practice and the _Footprint_ of the US Student Abroad   %2007.txt","ERIC EJ891492_ Principles in Practice and the _Footprint_ of the US Student Abroad   ",2007
"Documents/ERIC EJ903578_ To Climb or Not to Climb_ The Probing of Self-Imposed Barriers that Delay or Deny Career Aspirations to be an Administrator in a Public  %2010.txt","ERIC EJ903578_ To Climb or Not to Climb_ The Probing of Self-Imposed Barriers that Delay or Deny Career Aspirations to be an Administrator in a Public  ",2010
"Documents/ERIC EJ910467_ Early Development of Graphical Literacy through Knowledge Building   %2010.txt","ERIC EJ910467_ Early Development of Graphical Literacy through Knowledge Building   ",2010
"Documents/ERIC EJ918458_ College Admission in a Contested Marketplace_ The 20th Century and a New Logic for Access   %2011.txt","ERIC EJ918458_ College Admission in a Contested Marketplace_ The 20th Century and a New Logic for Access   ",2011
"Documents/ERIC EJ925286_ Millennials_ Leading the Charge for Change   %2011.txt","ERIC EJ925286_ Millennials_ Leading the Charge for Change   ",2011
"Documents/ERIC EJ926556_ Coping with Musculoskeletal Pain_ Implications for Office Workers   %2011.txt","ERIC EJ926556_ Coping with Musculoskeletal Pain_ Implications for Office Workers   ",2011
"Documents/ERIC EJ944941_ Teething Problems in the Academy_ Negotiating the Transition to Large-Class Teaching in the Discipline of History   %2011.txt","ERIC EJ944941_ Teething Problems in the Academy_ Negotiating the Transition to Large-Class Teaching in the Discipline of History   ",2011
"Documents/ERIC EJ979640_ Science Teacher Training Programme in Rural Schools_ An ODL Lesson from Zimbabwe   %2012.txt","ERIC EJ979640_ Science Teacher Training Programme in Rural Schools_ An ODL Lesson from Zimbabwe   ",2012
"Documents/ERIC EJ983875_ Dealing with Disruptive Behavior of Adult Learners   %2008.txt","ERIC EJ983875_ Dealing with Disruptive Behavior of Adult Learners   ",2008
"Documents/Essais de critique et d'histoire_  _   %1866.txt","Essais de critique et d'histoire_  _   ",1866
"Documents/Essays on the history of philosophy ___ Trans_ from the French by George Ripley_  _   %1839.txt","Essays on the history of philosophy ___ Trans_ from the French by George Ripley_  _   ",1839
"Documents/Essays _ historical and biographical_ political and social_ literary and scientific _ by Hugh Miller ; [edited by Peter Bayne]__  _   %1869.txt","Essays _ historical and biographical_ political and social_ literary and scientific _ by Hugh Miller ; [edited by Peter Bayne]__  _   ",1869
"Documents/Essays_ historical and biographical_ political_ social_ literary and scientific_  _   %1872.txt","Essays_ historical and biographical_ political_ social_ literary and scientific_  _   ",1872
"Documents/Essays_ historical and biographical_ political_ social_ literary and scientific_ By Hugh Miller_ Ed__ with a preface_ by Peter Bayne_  _   %1866.txt","Essays_ historical and biographical_ political_ social_ literary and scientific_ By Hugh Miller_ Ed__ with a preface_ by Peter Bayne_  _   ",1866
"Documents/Essays_ historical and biographical_ political_ social_ literary_ and scientific _ By Hugh Miller_ Ed__ with a preface_ by Peter Bayne_  _   %1865.txt","Essays_ historical and biographical_ political_ social_ literary_ and scientific _ By Hugh Miller_ Ed__ with a preface_ by Peter Bayne_  _   ",1865
"Documents/Essays_ historical and biographical_ political_ social_ literary_ and scientific_ Edited with a preface by Peter Bayne_  _   %1890.txt","Essays_ historical and biographical_ political_ social_ literary_ and scientific_ Edited with a preface by Peter Bayne_  _   ",1890
"Documents/Essays_ historical and theological _ J_ B_ Mozley_  v_1_   %1892.txt","Essays_ historical and theological _ J_ B_ Mozley_  v_1_   ",1892
"Documents/Europe and America in 1870_  _   %1870.txt","Europe and America in 1870_  _   ",1870
"Documents/Evita el Drama (Avoid Drama)_ A Multimodal Discourse Analysis of a XXI Century TV Advertisement (13-26) - Lizzeth Sánchez-Solís   %2020.txt","Evita el Drama (Avoid Drama)_ A Multimodal Discourse Analysis of a XXI Century TV Advertisement (13-26) - Lizzeth Sánchez-Solís   ",2020
"Documents/Examples in historical _ geographical antonomasia for the use of students in history and geography _ by Douglas Borthwick_  _   %1858.txt","Examples in historical _ geographical antonomasia for the use of students in history and geography _ by Douglas Borthwick_  _   ",1858
"Documents/Facts and conditions of progress in the North-west_ Being the annual discourse for 1850_ before the Historical and Philosophical Society of Ohio; deli  %1850.txt","Facts and conditions of progress in the North-west_ Being the annual discourse for 1850_ before the Historical and Philosophical Society of Ohio; deli  ",1850
"Documents/Famous nations; the stories of peoples which have attained prominence in history_  v_2_pt_1-2_   %1889.txt","Famous nations; the stories of peoples which have attained prominence in history_  v_2_pt_1-2_   ",1889
"Documents/Fifty famous stories retold _ by James Baldwin_  _   %1896.txt","Fifty famous stories retold _ by James Baldwin_  _   ",1896
"Documents/First lessons in the history of the United States _ compiled for the use of common schools _ by a practical teacher_  _   %1856.txt","First lessons in the history of the United States _ compiled for the use of common schools _ by a practical teacher_  _   ",1856
"Documents/Forest History Spring 1959_ Vol 3 Iss 1   %1959.txt","Forest History Spring 1959_ Vol 3 Iss 1   ",1959
"Documents/Forest History Winter 1960_ Vol 3 Iss 3-4   %1960.txt","Forest History Winter 1960_ Vol 3 Iss 3-4   ",1960
"Documents/Fort Dummer_  _   %1891.txt","Fort Dummer_  _   ",1891
"Documents/Four Oxford lectures_ 1887_ Fifty years of European history_ Teutonic conquest in Gaul and Britain_ by Edward A_ Freeman ____  _   %1888.txt","Four Oxford lectures_ 1887_ Fifty years of European history_ Teutonic conquest in Gaul and Britain_ by Edward A_ Freeman ____  _   ",1888
"Documents/Fourth and fifth annual addresses_ 1881 and 1882_  _   %1882.txt","Fourth and fifth annual addresses_ 1881 and 1882_  _   ",1882
"Documents/Fragments and scraps of history_  _   %1834.txt","Fragments and scraps of history_  _   ",1834
"Documents/Fragments of history_ Narratives of some of the most remarkable events in ancient and modern times_ selected with a view to illustrate God's providenc  %1850.txt","Fragments of history_ Narratives of some of the most remarkable events in ancient and modern times_ selected with a view to illustrate God's providenc  ",1850
"Documents/Frank Stephens Field Notes_ 1891   %1891.txt","Frank Stephens Field Notes_ 1891   ",1891
"Documents/From Eden to Eden _ a historic and prophetic study _ by J_H_ Waggoner_  _   %1893.txt","From Eden to Eden _ a historic and prophetic study _ by J_H_ Waggoner_  _   ",1893
"Documents/General sketch of history _ by Edward A_ Freeman ; adapted for American students_  _   %1876.txt","General sketch of history _ by Edward A_ Freeman ; adapted for American students_  _   ",1876
"Documents/General sketch of history _ by Edward A_ Freeman_  _   %1874.txt","General sketch of history _ by Edward A_ Freeman_  _   ",1874
"Documents/Geography and astronomy familiarized_ For youth of both sexes_ 1800   %1800.txt","Geography and astronomy familiarized_ For youth of both sexes_ 1800   ",1800
"Documents/Geography and history_ selected by a lady_ for the use of her own children_  _   %1828.txt","Geography and history_ selected by a lady_ for the use of her own children_  _   ",1828
"Documents/Gleichen call (1909-12-23)   %1909.txt","Gleichen call (1909-12-23)   ",1909
"Documents/Gleichen call (1914-08-13)   %1914.txt","Gleichen call (1914-08-13)   ",1914
"Documents/Gleichen call (1916-12-21)   %1916.txt","Gleichen call (1916-12-21)   ",1916
"Documents/Gleichen call (1918-12-05)   %1918.txt","Gleichen call (1918-12-05)   ",1918
"Documents/Gleichen call (1925-02-18)   %1925.txt","Gleichen call (1925-02-18)   ",1925
"Documents/Gleichen call (1931-05-20)   %1931.txt","Gleichen call (1931-05-20)   ",1931
"Documents/Gleichen call (1941-09-10)   %1941.txt","Gleichen call (1941-09-10)   ",1941
"Documents/Gleichen call (1946-06-12)   %1946.txt","Gleichen call (1946-06-12)   ",1946
"Documents/Gleichen call (1949-02-23)   %1949.txt","Gleichen call (1949-02-23)   ",1949
"Documents/Gleichen call (1950-06-14)   %1950.txt","Gleichen call (1950-06-14)   ",1950
"Documents/Gleichen call (1952-04-09)   %1952.txt","Gleichen call (1952-04-09)   ",1952
"Documents/Gleichen call (1953-05-20)   %1953.txt","Gleichen call (1953-05-20)   ",1953
"Documents/Goldsmith's Roman history _ abridged by himself _ for the use of schools_  _   %1820.txt","Goldsmith's Roman history _ abridged by himself _ for the use of schools_  _   ",1820
"Documents/Gonzalez May 052018 Hyper 2   %2018.txt","Gonzalez May 052018 Hyper 2   ",2018
"Documents/Governor's special message and report of Col_ J_N_ Dewey_ Commissioner of claims_  _   %1868.txt","Governor's special message and report of Col_ J_N_ Dewey_ Commissioner of claims_  _   ",1868
"Documents/Grape Growing in the Niagara Peninsula   %1912.txt","Grape Growing in the Niagara Peninsula   ",1912
"Documents/Great events _ described by distinguished historians_ chroniclers_ and other writers _ ed_ by Francis Lieber_  _   %1862.txt","Great events _ described by distinguished historians_ chroniclers_ and other writers _ ed_ by Francis Lieber_  _   ",1862
"Documents/Great events_ described by distinguished historians_  _   %1856.txt","Great events_ described by distinguished historians_  _   ",1856
"Documents/Great events_ described by distinguished historians_ chroniclers_ and other writers_ Collected and in part translated by Francis Lieber_  _   %1862.txt","Great events_ described by distinguished historians_ chroniclers_ and other writers_ Collected and in part translated by Francis Lieber_  _   ",1862
"Documents/Guide in a tour to the watering places_ and their environs_ on the south-east coast of Devon_ 1800   %1800.txt","Guide in a tour to the watering places_ and their environs_ on the south-east coast of Devon_ 1800   ",1800
"Documents/Hand-book of chronology and history_ The world's progress_ a dictionary of dates_ with tabular views of general history_ and a historical chart_ Ed_ b  %1852.txt","Hand-book of chronology and history_ The world's progress_ a dictionary of dates_ with tabular views of general history_ and a historical chart_ Ed_ b  ",1852
"Documents/Harper's school history_ A narrative of the general course of history from the earliest periods to the establishment of the American Constitution_ Pre  %1884.txt","Harper's school history_ A narrative of the general course of history from the earliest periods to the establishment of the American Constitution_ Pre  ",1884
"Documents/Harvard memorial biographies_  v_1_   %1866.txt","Harvard memorial biographies_  v_1_   ",1866
"Documents/Haydn's dictionary of dates and universal information relating to all ages and nations_  _   %1893.txt","Haydn's dictionary of dates and universal information relating to all ages and nations_  _   ",1893
"Documents/Haydn's dictionary of dates relating to all ages and nations _ for universal references _ by Benjamin Vincent_  _   %1870.txt","Haydn's dictionary of dates relating to all ages and nations _ for universal references _ by Benjamin Vincent_  _   ",1870
"Documents/Haydn's dictionary of dates relating to all ages and nations_ for universal reference_  _   %1870.txt","Haydn's dictionary of dates relating to all ages and nations_ for universal reference_  _   ",1870
"Documents/Haydn's dictionary of dates _ relating to all ages and nations for universal reference _ by Benjamin Vincent_  _   %1867.txt","Haydn's dictionary of dates _ relating to all ages and nations for universal reference _ by Benjamin Vincent_  _   ",1867
"Documents/Haydn's dictionary of dates _ relating to all ages and nations_ for universal reference _ by Benjamin Vincent_  _   %1874.txt","Haydn's dictionary of dates _ relating to all ages and nations_ for universal reference _ by Benjamin Vincent_  _   ",1874
"Documents/Haydn's dictionary of dates _ relating to all ages and nations_ for universal reference _ edited by Benjamin Vincent_  _   %1871.txt","Haydn's dictionary of dates _ relating to all ages and nations_ for universal reference _ edited by Benjamin Vincent_  _   ",1871
"Documents/Haydn's dictionary of dates_ relating to all ages and nations for universal reference_ by Benjamin Vincent_  _   %1867.txt","Haydn's dictionary of dates_ relating to all ages and nations for universal reference_ by Benjamin Vincent_  _   ",1867
"Documents/Haydn's dictionary of dates_ relating to all ages and nations_ For universal reference_ Ed_ by Benjamin Vincent ___ and revised for the use of America  %1877.txt","Haydn's dictionary of dates_ relating to all ages and nations_ For universal reference_ Ed_ by Benjamin Vincent ___ and revised for the use of America  ",1877
"Documents/Heeding cultural prerogatives _ the evolving politics of wine regulation in France   %2007.txt","Heeding cultural prerogatives _ the evolving politics of wine regulation in France   ",2007
"Documents/Historians and historical societies_ An address at the opening of the Fenway building of the Massachusetts historical society_ April 13_ 1899_ by Char  %1899.txt","Historians and historical societies_ An address at the opening of the Fenway building of the Massachusetts historical society_ April 13_ 1899_ by Char  ",1899
"Documents/Historic and literary miscellany_ by G_M_D_ Bloss_  _   %1875.txt","Historic and literary miscellany_ by G_M_D_ Bloss_  _   ",1875
"Documents/Historic bubbles_ by Frederic Leake_  _   %1896.txt","Historic bubbles_ by Frederic Leake_  _   ",1896
"Documents/Historic note-book_ with an appendix of battles_  _   %1892.txt","Historic note-book_ with an appendix of battles_  _   ",1892
"Documents/Historic oddities and strange events_  _   %1889.txt","Historic oddities and strange events_  _   ",1889
"Documents/Historic oddities and strange events_ by S_ Baring Gould_  _   %1890.txt","Historic oddities and strange events_ by S_ Baring Gould_  _   ",1890
"Documents/Historic oddities and strange events_ by S_ Baring-Gould_  _   %1889.txt","Historic oddities and strange events_ by S_ Baring-Gould_  _   ",1889
"Documents/Historical account of the hundreds of Chiltern in Oxfordshire_  _   %1890.txt","Historical account of the hundreds of Chiltern in Oxfordshire_  _   ",1890
"Documents/Historical account of the rise and progress of the English stage_ and of the economy and usages of the ancient theatres in England; by Edmund Malone_   %1800.txt","Historical account of the rise and progress of the English stage_ and of the economy and usages of the ancient theatres in England; by Edmund Malone_   ",1800
"Documents/Historical addresses_  v_ 1_   %1836.txt","Historical addresses_  v_ 1_   ",1836
"Documents/Historical and miscellaneous question _ from the eighty-fourth London edition with large additions_ embracing the elements of mythology_ astronomy_ ar  %1866.txt","Historical and miscellaneous question _ from the eighty-fourth London edition with large additions_ embracing the elements of mythology_ astronomy_ ar  ",1866
"Documents/Historical and miscellaneous questions for the use of young people_  _   %1859.txt","Historical and miscellaneous questions for the use of young people_  _   ",1859
"Documents/Historical and miscellaneous questions _ by Richard Mangnall ; from the eighty-fourth London edition ; with large additions_ embracing the elements of  %1874.txt","Historical and miscellaneous questions _ by Richard Mangnall ; from the eighty-fourth London edition ; with large additions_ embracing the elements of  ",1874
"Documents/Historical and miscellaneous questions _ by Richmal Mangnall ; from the eighty-fourth London edition_ with large additions_ embracing the elements of   %1856.txt","Historical and miscellaneous questions _ by Richmal Mangnall ; from the eighty-fourth London edition_ with large additions_ embracing the elements of   ",1856
"Documents/Historical and miscellaneous questions _ by Richmal Mangnall_  _   %1869.txt","Historical and miscellaneous questions _ by Richmal Mangnall_  _   ",1869
"Documents/Historical and miscellaneous questions_  _   %1830.txt","Historical and miscellaneous questions_  _   ",1830
"Documents/Historical and miscellaneous questions_  _   %1853.txt","Historical and miscellaneous questions_  _   ",1853
"Documents/Historical and miscellaneous questions_ for the use of young people _ with a selection of British_ and general biography_ _c_ _c_ _  By Richmal Mangna  %1840.txt","Historical and miscellaneous questions_ for the use of young people _ with a selection of British_ and general biography_ _c_ _c_ _  By Richmal Mangna  ",1840
"Documents/Historical and miscellaneous questions_ From the 84th London ed_ With large additions_ embracing the elements of mythology_ astronomy_ architecture_ h  %1860.txt","Historical and miscellaneous questions_ From the 84th London ed_ With large additions_ embracing the elements of mythology_ astronomy_ architecture_ h  ",1860
"Documents/Historical and miscellaneous questions_ From the eighty-fourth London edition_ With large additions_ embracing the elements of mythology_ astronomy __  %1872.txt","Historical and miscellaneous questions_ From the eighty-fourth London edition_ With large additions_ embracing the elements of mythology_ astronomy __  ",1872
"Documents/Historical and miscellaneous questions_ From the eighty-fourth London edition_ With large additions_ embracing the elements of mythology_ astronomy_ a  %1851.txt","Historical and miscellaneous questions_ From the eighty-fourth London edition_ With large additions_ embracing the elements of mythology_ astronomy_ a  ",1851
"Documents/Historical Class Book; or_ Readings in Modern History_ from the Reformation in 1517 to the French Revolution in 1848; with Notices of the most Remarka  %1848.txt","Historical Class Book; or_ Readings in Modern History_ from the Reformation in 1517 to the French Revolution in 1848; with Notices of the most Remarka  ",1848
"Documents/Historical collections of the Essex Institute_  vol_ 1 (Apr_ -Nov_ 1859)_   %1859.txt","Historical collections of the Essex Institute_  vol_ 1 (Apr_ -Nov_ 1859)_   ",1859
"Documents/Historical difficulties and contested events_ By Octave Delepierre ____  _   %1868.txt","Historical difficulties and contested events_ By Octave Delepierre ____  _   ",1868
"Documents/Historical essays _ by J_A_ Froude ; being selections from _Short studies on great subjects___  _   %1886.txt","Historical essays _ by J_A_ Froude ; being selections from _Short studies on great subjects___  _   ",1886
"Documents/Historical essays _ first series _ by Edward A_ Freeman_  _   %1875.txt","Historical essays _ first series _ by Edward A_ Freeman_  _   ",1875
"Documents/Historical essays_ By Edward A_ Freeman_  _   %1879.txt","Historical essays_ By Edward A_ Freeman_  _   ",1879
"Documents/Historical essays_ By Edward A_ Freeman____  _   %1875.txt","Historical essays_ By Edward A_ Freeman____  _   ",1875
"Documents/Historical essays_ By Lord Mahon_ Contributed to the Quarterly review_  _   %1849.txt","Historical essays_ By Lord Mahon_ Contributed to the Quarterly review_  _   ",1849
"Documents/Historical lectures and essays by Charles Kingsley_  _   %1880.txt","Historical lectures and essays by Charles Kingsley_  _   ",1880
"Documents/Historical lectures and essays_ by Charles Kingsley_  _   %1889.txt","Historical lectures and essays_ by Charles Kingsley_  _   ",1889
"Documents/Historical lectures and essays_ by Charles Kingsley_  _   %1893.txt","Historical lectures and essays_ by Charles Kingsley_  _   ",1893
"Documents/Historical letters_ including a brief but general view of the history of the world_ civil_ military and religious_ from the earliest times to the year  %1821.txt","Historical letters_ including a brief but general view of the history of the world_ civil_ military and religious_ from the earliest times to the year  ",1821
"Documents/Historical Magazine of the Protestant Episcopal Church 1936-09_ Vol 5 Iss 3   %1936.txt","Historical Magazine of the Protestant Episcopal Church 1936-09_ Vol 5 Iss 3   ",1936
"Documents/Historical Magazine of the Protestant Episcopal Church 1939-03_ Vol 8 Iss 1   %1939.txt","Historical Magazine of the Protestant Episcopal Church 1939-03_ Vol 8 Iss 1   ",1939
"Documents/Historical Magazine of the Protestant Episcopal Church 1944-03_ Vol 13 Iss 1   %1944.txt","Historical Magazine of the Protestant Episcopal Church 1944-03_ Vol 13 Iss 1   ",1944
"Documents/Historical Magazine of the Protestant Episcopal Church 1944-09_ Vol 13 Iss 3   %1944.txt","Historical Magazine of the Protestant Episcopal Church 1944-09_ Vol 13 Iss 3   ",1944
"Documents/Historical Magazine of the Protestant Episcopal Church 1945-12_ Vol 14 Iss 4   %1945.txt","Historical Magazine of the Protestant Episcopal Church 1945-12_ Vol 14 Iss 4   ",1945
"Documents/Historical Magazine of the Protestant Episcopal Church 1946-03_ Vol 15 Iss 1   %1946.txt","Historical Magazine of the Protestant Episcopal Church 1946-03_ Vol 15 Iss 1   ",1946
"Documents/Historical Magazine of the Protestant Episcopal Church 1946-06_ Vol 15 Iss 2   %1946.txt","Historical Magazine of the Protestant Episcopal Church 1946-06_ Vol 15 Iss 2   ",1946
"Documents/Historical Magazine of the Protestant Episcopal Church 1946-09_ Vol 15 Iss 3   %1946.txt","Historical Magazine of the Protestant Episcopal Church 1946-09_ Vol 15 Iss 3   ",1946
"Documents/Historical Magazine of the Protestant Episcopal Church 1948-03_ Vol 17 Iss 1   %1948.txt","Historical Magazine of the Protestant Episcopal Church 1948-03_ Vol 17 Iss 1   ",1948
"Documents/Historical Magazine of the Protestant Episcopal Church 1952-12_ Vol 21 Iss 4   %1952.txt","Historical Magazine of the Protestant Episcopal Church 1952-12_ Vol 21 Iss 4   ",1952
"Documents/Historical Magazine of the Protestant Episcopal Church 1955-09_ Vol 24 Iss 3   %1955.txt","Historical Magazine of the Protestant Episcopal Church 1955-09_ Vol 24 Iss 3   ",1955
"Documents/Historical Magazine of the Protestant Episcopal Church 1955_ Vol 24 Index   %1955.txt","Historical Magazine of the Protestant Episcopal Church 1955_ Vol 24 Index   ",1955
"Documents/Historical Magazine of the Protestant Episcopal Church 1958-12_ Vol 27 Iss 4   %1958.txt","Historical Magazine of the Protestant Episcopal Church 1958-12_ Vol 27 Iss 4   ",1958
"Documents/Historical Magazine of the Protestant Episcopal Church 1961-12_ Vol 30 Iss 4   %1961.txt","Historical Magazine of the Protestant Episcopal Church 1961-12_ Vol 30 Iss 4   ",1961
"Documents/Historical Magazine of the Protestant Episcopal Church 1982_ Vol 51 Index   %1982.txt","Historical Magazine of the Protestant Episcopal Church 1982_ Vol 51 Index   ",1982
"Documents/Historical maxims for troubled times_ An address before the Law department of Yale college_ at commencement_ June 27_ 1887_  _   %1877.txt","Historical maxims for troubled times_ An address before the Law department of Yale college_ at commencement_ June 27_ 1887_  _   ",1877
"Documents/Historical narrations in French; consisting of interesting historical pieces_ intended for reading_ translation and particularly for narration ___ By   %1845.txt","Historical narrations in French; consisting of interesting historical pieces_ intended for reading_ translation and particularly for narration ___ By   ",1845
"Documents/Historical parallels_  v_1_   %1831.txt","Historical parallels_  v_1_   ",1831
"Documents/Historical parallels_  _   %1831.txt","Historical parallels_  _   ",1831
"Documents/Historical parallels_  _   %1846.txt","Historical parallels_  _   ",1846
"Documents/Historical philosophy in France and French Belgium and Switzerland by Robert Flint_  _   %1893.txt","Historical philosophy in France and French Belgium and Switzerland by Robert Flint_  _   ",1893
"Documents/Historical philosophy in France and French Belgium and Switzerland _ by Robert Flint_  _   %1894.txt","Historical philosophy in France and French Belgium and Switzerland _ by Robert Flint_  _   ",1894
"Documents/Historical questions_ logically arranged and divided _ the companion-book to Labberton's Outlines of history _ by Robert H_ Labberton_  _   %1872.txt","Historical questions_ logically arranged and divided _ the companion-book to Labberton's Outlines of history _ by Robert H_ Labberton_  _   ",1872
"Documents/Historical questions_ logically arranged and divided _ the companion-book to Labberton's Outlines of history _ by Robert H_ Labberton_  _   %1876.txt","Historical questions_ logically arranged and divided _ the companion-book to Labberton's Outlines of history _ by Robert H_ Labberton_  _   ",1876
"Documents/Historical readings for the use of teachers' reading circles _ by Henry E_ Shepherd_  _   %1893.txt","Historical readings for the use of teachers' reading circles _ by Henry E_ Shepherd_  _   ",1893
"Documents/Historical reference lists for the use of students in the Ohio state university_  _   %1882.txt","Historical reference lists for the use of students in the Ohio state university_  _   ",1882
"Documents/Historical sketches _ by John Henry Cardinal Newman_  _   %1897.txt","Historical sketches _ by John Henry Cardinal Newman_  _   ",1897
"Documents/Historical sketches ___ by John Henry Cardinal Newman_  v_2_   %1891.txt","Historical sketches ___ by John Henry Cardinal Newman_  v_2_   ",1891
"Documents/Historical sketches; or_ Narratives of striking events in the course of human affairs_ Edited by Rev_ D_W_ Clark ____  _   %1856.txt","Historical sketches; or_ Narratives of striking events in the course of human affairs_ Edited by Rev_ D_W_ Clark ____  _   ",1856
"Documents/Historical studies and recreations_ By Shoshee Chunder Dutt_  v_ 1_   %1879.txt","Historical studies and recreations_ By Shoshee Chunder Dutt_  v_ 1_   ",1879
"Documents/Historical studies_ By Herman Merivale_  _   %1865.txt","Historical studies_ By Herman Merivale_  _   ",1865
"Documents/History 1917-07_ Vol 2 Iss 6   %1917.txt","History 1917-07_ Vol 2 Iss 6   ",1917
"Documents/History 1923-10_ Vol 8 Iss 31   %1923.txt","History 1923-10_ Vol 8 Iss 31   ",1923
"Documents/History 1924 - 1925_ Vol 9 Index   %1924.txt","History 1924 - 1925_ Vol 9 Index   ",1924
"Documents/History 1925-04_ Vol 10 Iss 37   %1925.txt","History 1925-04_ Vol 10 Iss 37   ",1925
"Documents/History 1926 - 1927_ Vol 11 Index   %1926.txt","History 1926 - 1927_ Vol 11 Index   ",1926
"Documents/History 1928-10_ Vol 13 Iss 51   %1928.txt","History 1928-10_ Vol 13 Iss 51   ",1928
"Documents/History 1929-07_ Vol 14 Iss 54   %1929.txt","History 1929-07_ Vol 14 Iss 54   ",1929
"Documents/History 1931-10_ Vol 16 Iss 63   %1931.txt","History 1931-10_ Vol 16 Iss 63   ",1931
"Documents/History 1938-06_ Vol 23 Iss 89   %1938.txt","History 1938-06_ Vol 23 Iss 89   ",1938
"Documents/History 1941 - 1942_ Vol 26 Index   %1941.txt","History 1941 - 1942_ Vol 26 Index   ",1941
"Documents/History 1942-06_ Vol 27 Iss 105   %1942.txt","History 1942-06_ Vol 27 Iss 105   ",1942
"Documents/History 1950_ Vol 35 Index   %1950.txt","History 1950_ Vol 35 Index   ",1950
"Documents/History 1953-06_ Vol 38 Iss 133   %1953.txt","History 1953-06_ Vol 38 Iss 133   ",1953
"Documents/History 1956_ Vol 41 Index   %1956.txt","History 1956_ Vol 41 Index   ",1956
"Documents/History 1960_ Vol 45 Index   %1960.txt","History 1960_ Vol 45 Index   ",1960
"Documents/History and criticism_ _ Being studies on Conciergerie_ Bianca Cappello_ Wallenstein_ Calderon_ Carlyle_ Goethe_ Faust_ Taine_ _ by H_ Schütz Wilson_   %1896.txt","History and criticism_ _ Being studies on Conciergerie_ Bianca Cappello_ Wallenstein_ Calderon_ Carlyle_ Goethe_ Faust_ Taine_ _ by H_ Schütz Wilson_   ",1896
"Documents/History and description of the Barberini or Portland vase   %1855.txt","History and description of the Barberini or Portland vase   ",1855
"Documents/History and its philosophy _ The address at the 63d anniversary of the New York Historical Society_ Dec_ 19_ 1867_  _   %1868.txt","History and its philosophy _ The address at the 63d anniversary of the New York Historical Society_ Dec_ 19_ 1867_  _   ",1868
